Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G0_W4_1766893697.pt,0.1321498891878837,0.0014900960722846297,0.8130929828242628,0.3597874242549367,0.8409932356904981,5.040484352190639e-109,0.4391216248715546,0.8283120065396901,0.6984638462800684,0.7728197404607519,0.24244630446470805,0.20839535247891072,0.9678054348976285,6.94181216067408e-30,0.09792563075296783,7
G0_W4_1766904128.pt,0.5995210868416352,0.411808890804785,0.5943751574640265,0.7760047046559391,0.04071382138568166,7.615735526672284e-157,0.8439821519231205,0.8871663421915734,0.9180459764922497,0.7298334861226854,0.20945163221283183,0.1720375428292994,0.19554961931443404,1.26760447545528e-87,0.04776863651159678,6
G0_W5_1766893959.pt,0.02298402403928956,0.545203348374055,0.287046031759729,0.09522504479384505,0.07403827016460017,0.0,0.7424925355142609,0.5013104415134924,0.178685771469961,0.795167786047886,0.5981707042841172,0.20970044849299596,0.9995917193991524,2.1882761951553e-22,0.2875148939088952,7
G0_W5_1766904025.pt,0.8041390482701172,0.022913731091625318,0.0328034322335025,0.38234911330974286,0.4529928912687293,2.2262367065838188e-150,0.2679226632693318,0.7573185268294242,0.7600805106271413,0.9624452844549009,0.7432084247312561,0.9357846814345895,0.2944776940905499,1.0,1.0,6
G1_W0_1766896043.pt,0.3757830562498341,0.38385785820435614,0.7272996194702268,0.07910250120974449,0.6326413470185817,3.9333917414994696e-192,0.4812622558572758,0.12369915814789077,0.7896704661145396,0.6594355142369235,0.0456267796453545,0.15043994931512428,0.7412202173832669,1.0,1.0,5
G1_W0_1766896663.pt,0.13576211728067383,0.48622800864572147,0.1773602655712725,0.586143712371406,0.030251026647056378,0.0,0.36874961655818994,0.5638398238714892,0.8784677021611988,0.1083116553611627,0.44843907179098325,0.5612282526008373,0.9465127820347271,1.2304341378558304e-18,0.05818910290684188,6
G1_W0_1766897920.pt,0.6048087838463521,0.1876502149550692,0.5888921627956767,0.20475414652299292,0.7471176677809541,1.3590264558109958e-258,0.28640551484369786,0.23761337093347726,0.9015611828611709,0.7590293568746747,0.11210395171362872,0.013191659458920603,0.2902749115300606,7.66703906367066e-19,0.053409188915067914,6
G1_W0_1766902187.pt,0.9254027693706011,0.0005302370315009601,0.9566154421352209,0.531958177959414,0.18266769178291248,0.0,0.4299888924401572,0.6208166660417929,0.4810988930814657,0.8888750112019479,0.6974428924437054,0.6992119255907758,0.03700768100933938,2.127849221506017e-66,0.014940572830254172,5
G1_W0_274.pt,0.026380877215280023,0.3020369555162921,0.5133954367978487,0.04895636738402679,0.8194341881852261,0.0,0.4486281197087385,0.9167165222398383,0.3483059305452665,0.6459885964947556,0.520004011500208,0.8083808714367118,0.9987369293589277,7.244524065675239e-21,0.027655047109137902,4
G1_W0_1766903247.pt,0.025203297625205127,0.3063381851992967,0.28757341215284726,0.4333330389388762,0.2952798274754524,1.9619906013954178e-264,0.5176640054680651,0.9776554686490031,0.8789721420045286,0.7194941234507521,0.14080069978229523,0.017986858940985652,0.998984921371788,9.527103442145588e-18,0.3492068614432735,5
G1_W0_1766904168.pt,0.18778774265269593,0.09683137048762827,0.5612879123732182,0.5334761624438087,0.08021656180906504,7.247296653378612e-231,0.5149596532617632,0.717895016140699,0.6109385901136533,0.43026384713888477,0.044678649972311725,0.0747631269831532,0.9057790840575836,1.0,1.0,5
G1_W0_568.pt,0.8663617141957743,0.13643272411810736,0.7033027937167785,0.7506652440955897,0.6389955765345792,2.3176458149849852e-153,0.3781411253463601,0.058706895325387726,0.5054338102239074,0.1869342584767095,0.8270790557776616,0.7716393596934964,0.12365989542701228,1.9132883834819438e-30,0.1616173953250113,8
G1_W1_1766893316.pt,0.5811812344886439,0.005850653889835155,0.005881556115582743,0.07569932558440343,0.8195106479916261,3.4651569445382026e-220,0.5662953517384539,0.5388005830233081,0.6630190192598377,0.26226227107263483,0.1610764727640958,0.48680519874387296,0.5185115944032788,1.4501310393299434e-54,0.28507453871885347,7
G1_W1_1766890487.pt,0.0038537753483392423,0.005100868343038195,0.35118728161428714,0.21383651009022947,0.2779415509488631,3.485597298028573e-66,0.7474109249836351,0.8159506462691881,0.28353872865234864,0.6893825667853406,0.16744788968420127,0.2659018640321339,0.9999808012456707,1.0,1.0,8
G1_W1_1766892763.pt,0.16359912496992335,0.003553026788219624,0.6387980220339561,0.28162383403999375,0.7382786207456863,0.0,0.5523760103162674,0.7964377492025305,0.5653132049394013,0.8973701464561252,0.8406027369174864,0.6238899806370671,0.9085301150874736,1.0,1.0,4
G1_W1_1766900898.pt,0.324305076312676,0.27011763687421164,0.05947756087851482,0.07796349987013204,0.4105692875786888,1.3533939044637156e-250,0.9569991745216107,0.39732802952495255,0.8477664725500345,0.2676125449731855,0.7321419020616718,0.924350878334702,0.7050703825603108,8.826791792607102e-98,0.003589818492129871,8
G1_W1_1766896069.pt,0.014812929735373138,0.012012173809146686,0.9636379307326195,0.4635090445734814,0.7108273832233041,0.0,0.3655982710143754,0.4069061231368959,0.879712148091076,0.9205907755215652,0.6816178429739668,0.5206655632685083,0.9990215477074388,1.0,1.0,6
G1_W1_1766896329.pt,0.528624444762039,0.09929978759109769,0.5629386235916862,0.7642968178477643,0.42400043385649433,3.4063848503646176e-149,0.8717570710381864,0.828000532948765,0.7730533423970347,0.4291918087216334,0.6845099169059325,0.6117416567696512,0.6512484557359681,1.0,1.0,5
